"Time","Subsystem #2|Branch Currents|IBkr_tfA","Subsystem #2|Branch Currents|IBkr_tfB","Subsystem #2|Branch Currents|IBkr_tfC"
1.1184,-1.05169894,0.5265051687,0.5251937714
1.119,-1.037362603,0.3500113376,0.6873512654
1.1196,-0.9906610584,0.1632463692,0.8274146892
1.1202,-0.9015738195,-0.05228206966,0.9538558891
1.1208,-0.7696040019,-0.2544153674,1.024019369
1.1214,-0.6224166134,-0.4493528323,1.071769446
1.122,-0.4456480924,-0.6376375686,1.083285661
1.1226,-0.2522130919,-0.8018675134,1.054080605
1.1232,-0.06501593408,-0.9148300188,0.9798459529
1.1238,0.1473512179,-1.029833999,0.8824827806
1.1244,0.3587383384,-1.096664031,0.737925693
1.125,0.5483313879,-1.113225489,0.5648941011
1.1256,0.7129266241,-1.10455376,0.3916271361
1.1262,0.8778931123,-1.066167425,0.188274313
1.1268,0.9876533235,-0.971480557,-0.01617276651
1.1274,1.072373082,-0.8503299785,-0.2220431039
1.128,1.133013451,-0.7010822005,-0.431931251
1.1286,1.133633556,-0.5168304331,-0.6168031227
1.1292,1.098338675,-0.3401251771,-0.7582134983
1.1298,1.036728065,-0.1355763078,-0.9011517569
1.1304,0.9351847076,0.07383166043,-1.009016368
1.131,0.7904297939,0.2714479615,-1.061877755
1.1316,0.6291177221,0.4661377108,-1.095255433
1.1322,0.4380123348,0.6475392438,-1.085551579
1.1328,0.2468358789,0.7943204041,-1.041156283
1.1334,0.04741842171,0.906335902,-0.9537543237
1.134,-0.1637394396,1.003848133,-0.8401086937
1.1346,-0.3632760983,1.047735706,-0.6844596072
1.1352,-0.5476608391,1.058400024,-0.5107391846
1.1358,-0.7118893837,1.033581985,-0.3216926018
1.1364,-0.8570356002,0.9786714,-0.1216357997
1.137,-0.9504136861,0.8781342951,0.07227939104
1.1376,-1.031868919,0.7455986972,0.2862702223
1.1382,-1.076562079,0.5852530306,0.4913090485
1.1388,-1.066944537,0.405046978,0.6618975588
1.1394,-1.022783,0.2248645983,0.7979184014
1.14,-0.9630287812,0.01383708809,0.9491916931
1.1406,-0.8563301492,-0.1918570708,1.04818722
1.1412,-0.6972439335,-0.3889853234,1.086229257
1.1418,-0.5302910098,-0.5834452293,1.113736239
1.1424,-0.3477638712,-0.7555983298,1.103362201
1.143,-0.157642748,-0.8778638368,1.035506585
1.1436,0.05582661097,-0.9973305411,0.9415039302
1.1442,0.2594987376,-1.078079559,0.8185808217
1.1448,0.4532770566,-1.105161135,0.6518840786
1.1454,0.6319646682,-1.111758285,0.4797936171
1.146,0.797143573,-1.076549444,0.2794058715
1.1466,0.9165377338,-0.997320801,0.08078306718
1.1472,1.00346915,-0.8873098729,-0.1161592767
1.1478,1.079284322,-0.7484076773,-0.3308766451
1.1484,1.095304247,-0.568235096,-0.5270691507
1.149,1.077599323,-0.3888031386,-0.6887961848
1.1496,1.026666328,-0.1999425073,-0.8267238203
1.1502,0.936846721,0.01316311452,-0.9500098355
1.1508,0.7998591696,0.216393259,-1.016252429
1.1514,0.647162498,0.4118651705,-1.059027669
1.152,0.4693398115,0.5936730951,-1.063012907
1.1526,0.2725986108,0.7574591244,-1.030057735
1.1532,0.08169414711,0.8734415275,-0.9551356747
1.1538,-0.1272802833,0.9817401694,-0.8544598862
1.1544,-0.333325953,1.041860073,-0.7085341199
1.155,-0.5245792945,1.057228928,-0.5326496338
1.1556,-0.6865160986,1.044672845,-0.3581567465
1.1562,-0.8415734195,0.998641379,-0.1570679595
1.1568,-0.9459896333,0.9021549992,0.04383463407
1.1574,-1.030803882,0.7841953157,0.2466085662
1.158,-1.092459321,0.6381216102,0.4543377111
1.1586,-1.095660384,0.4557926842,0.6398676996
1.1592,-1.059999967,0.2846521313,0.7753478354
1.1598,-0.997582625,0.08351762057,0.9140650044
1.1604,-0.8932713524,-0.1260479926,1.019319345
1.161,-0.7530486213,-0.3223478032,1.075396424
1.1616,-0.6001752211,-0.5172753374,1.117450559
1.1622,-0.4146102477,-0.6974316785,1.112041926
1.1628,-0.2256762707,-0.8401105775,1.065786848
1.1634,-0.02622404422,-0.9547467425,0.9809707867
1.164,0.1836297728,-1.05249279,0.8688630176
1.1646,0.3800165792,-1.090564505,0.710547926
1.1652,0.5650791315,-1.103315021,0.5382358897
1.1658,0.7315322243,-1.081277813,0.3497455886
1.1664,0.8729726796,-1.01843461,0.1454619305
1.167,0.9622923325,-0.9132941389,-0.04899819367
1.1676,1.042480307,-0.7823549739,-0.2601253334
1.1682,1.081338809,-0.6166028282,-0.4647359811
1.1688,1.066950898,-0.4290054518,-0.6379454465
1.1694,1.023246215,-0.251972553,-0.7712736616
1.17,0.9529157901,-0.04305129484,-0.9098644953
1.1706,0.8311528229,0.1666557624,-0.9978085853
1.1712,0.6797817291,0.3612607993,-1.041042528
1.1718,0.5145736636,0.5491903017,-1.063763965
1.1724,0.3195837874,0.723280099,-1.042863886
1.173,0.1338858333,0.8440191719,-0.9779050052
1.1736,-0.07055566334,0.9583329551,-0.8877772918
1.1742,-0.2804919243,1.040868599,-0.7603766742
1.1748,-0.4734221998,1.06602134,-0.5925991406
1.1754,-0.6418737328,1.063646786,-0.4217730531
1.176,-0.8047672805,1.030704919,-0.2259376389
1.1766,-0.9272605764,0.9527551125,-0.02549453608
1.1772,-1.010615739,0.839101197,0.171514542
1.1778,-1.085582486,0.7042099355,0.38137255
1.1784,-1.104976477,0.5326114542,0.572365023
1.179,-1.084701522,0.358091192,0.7266103297
1.1796,-1.034314766,0.1689460248,0.8653687409
1.1802,-0.9513265153,-0.0414285476,0.9927550629
1.1808,-0.8148377167,-0.2411102422,1.055947959
1.1814,-0.6622033679,-0.4371270063,1.099330374
1.182,-0.4873498799,-0.6212392682,1.108589148
1.1826,-0.2910004922,-0.7864380046,1.077438497
1.1832,-0.1009481397,-0.9022794914,1.003227631
1.1838,0.1066379344,-1.011618721,0.9049807862
1.1844,0.3141089713,-1.07308006,0.7589710882
1.185,0.5051804255,-1.087173546,0.5819931209
1.1856,0.6676688719,-1.074072771,0.4064038993
1.1862,0.8260640804,-1.028429452,0.2023653713
1.1868,0.9299482823,-0.9316997282,0.001751445902
1.1874,1.00878993,-0.8090075501,-0.1997823794
1.188,1.067479367,-0.6594022746,-0.4080770928
1.1886,1.069314966,-0.4741805771,-0.5951343892
1.1892,1.031188082,-0.2984763095,-0.7327117724
1.1898,0.973812892,-0.09696506342,-0.8768478285
1.1904,0.9076610395,0.1133786807,-1.02103972
1.191,0.7540250455,0.3084805615,-1.062505607
1.1916,0.5703255396,0.5024977206,-1.07282326
1.1922,0.4027639394,0.6788898226,-1.081653762
1.1928,0.2205475794,0.8152100333,-1.035757613
1.1934,0.003244918925,0.927231514,-0.9304764329
1.194,-0.1971542198,1.023317396,-0.8261631762
1.1946,-0.3798915033,1.061120275,-0.6812287715
1.1952,-0.5759872,1.075977291,-0.4999900909
1.1958,-0.7435731921,1.054279465,-0.3107062732
1.1964,-0.872235891,0.9915527636,-0.1193168726
1.197,-0.9659493128,0.8900121358,0.07593717701
1.1976,-1.058702025,0.7661853594,0.2925166659
1.1982,-1.095687697,0.6042253543,0.4914623428
1.1988,-1.082955261,0.4190627852,0.6638924758
1.1994,-1.051284004,0.2479965328,0.8032874711
1.2,-0.9813376413,0.03982359191,0.9415140493
1.2006,-0.8543116036,-0.1711543987,1.025466002
1.2012,-0.7112034958,-0.3636547579,1.074858254
1.2018,-0.5498521837,-0.5503526022,1.100204786
1.2024,-0.3463920033,-0.7285513884,1.074943392
1.203,-0.1629337275,-0.8501563332,1.013090061
1.2036,0.03516724693,-0.9615514716,0.9263842247
1.2042,0.2502873225,-1.045702381,0.7954150582
1.2048,0.4460089929,-1.070546902,0.6245379092
1.2054,0.6127867629,-1.066087299,0.4533005356
1.206,0.7768792842,-1.033946257,0.2570669728
1.2066,0.9039000997,-0.9570760555,0.0531759558
1.2072,0.9814216893,-0.8384860343,-0.142935655
1.2078,1.047354999,-0.6986097503,-0.3487452486
1.2084,1.066381133,-0.5264402894,-0.5399408438
1.209,1.043565023,-0.3481968462,-0.6953681767
1.2096,0.9833005229,-0.1573685131,-0.8259320098
1.2102,0.8986170457,0.04856289928,-0.947179945
1.2108,0.7653268719,0.248243682,-1.013570554
1.2114,0.6114473485,0.4432853774,-1.054732726
1.212,0.4367490554,0.6199895482,-1.056738604
1.2126,0.2467553229,0.7745016025,-1.021256925
1.2132,0.05667114544,0.8891871329,-0.9458582783
1.2138,-0.1504651312,0.9985272615,-0.8480621303
1.2144,-0.3518362618,1.056645685,-0.7048094233
1.215,-0.5398149068,1.073533191,-0.5337182842
1.2156,-0.7037399903,1.064678353,-0.3609383629
1.2162,-0.8584444315,1.017842163,-0.1593977315
1.2168,-0.9592126652,0.9279398068,0.03127285841
1.2174,-1.045811403,0.8118688656,0.2339425375
1.218,-1.110575162,0.6635473926,0.4470277697
1.2186,-1.113180724,0.4808051456,0.6323755788
1.2192,-1.081576326,0.3116773805,0.7698989451
1.2198,-1.021765672,0.1109092043,0.9108564675
1.2204,-0.9201995632,-0.09814497359,1.018344537
1.221,-0.7754672501,-0.2918626326,1.067329883
1.2216,-0.6152925053,-0.4900371059,1.105329611
1.2222,-0.4308710281,-0.6703014374,1.101172466
1.2228,-0.2427753399,-0.8042570888,1.047032429
1.2234,-0.0424077652,-0.9144000145,0.9568077797
1.224,0.1672577989,-1.014823279,0.8475654803
1.2246,0.3638677622,-1.051926863,0.6880591005
1.2252,0.5438060302,-1.053872014,0.5100659837
1.2258,0.7053368377,-1.032814819,0.3274779815
1.2264,0.8484148687,-0.97517095,0.1267560812
1.227,0.9361218351,-0.8661962375,-0.06992559761
1.2276,1.014417572,-0.7392837981,-0.2751337735
1.2282,1.052557349,-0.5807036586,-0.47185369
1.2288,1.034846418,-0.391190101,-0.6436563172
1.2294,0.9918067515,-0.2144967108,-0.7773100407
1.23,0.9250919795,-0.014316566,-0.9107754135
1.2306,0.8018347328,0.1919585116,-0.9937932444
1.2312,0.6551608651,0.3879418719,-1.043102737
1.2318,0.4955409989,0.5694179949,-1.064958994
1.2324,0.2988214629,0.7409756082,-1.039797071
1.233,0.1143956947,0.8657733496,-0.9801690444
1.2336,-0.08312381185,0.9774285271,-0.8943047152
1.2342,-0.2933454253,1.058895576,-0.7655501505
1.2348,-0.4889135726,1.089461839,-0.6005482667
1.2354,-0.6583071937,1.091161876,-0.4328546821
1.236,-0.8198523855,1.057595338,-0.2377429525
1.2366,-0.9444074931,0.981630007,-0.03722251388
1.2372,-1.027003849,0.8684518048,0.1585520445
1.2378,-1.099925001,0.7303467652,0.3695782355
1.2384,-1.122116144,0.5580015305,0.564114614
1.239,-1.102643472,0.3833279739,0.7193154978
1.2396,-1.046695228,0.194518685,0.8521765431
1.2402,-0.9772077697,-0.01600315056,0.9932109203
1.2408,-0.8483093814,-0.216077112,1.064386493
1.2414,-0.6794610121,-0.4117357704,1.091196783
1.242,-0.5057363758,-0.5943691587,1.100105534
1.2426,-0.321643906,-0.7502442072,1.071888113
1.2432,-0.122294267,-0.8639063213,0.9862005884
1.2438,0.08737396438,-0.9721346421,0.8847606778
1.2444,0.2802718169,-1.026888371,0.746616554
1.245,0.470496517,-1.040013923,0.569517406
1.2456,0.6435617318,-1.032917492,0.3893557598
1.2462,0.7937343156,-0.9830042975,0.1892699819
1.2468,0.8885154384,-0.8891573951,6.419567377E-4
1.2474,0.9782439414,-0.7732762311,-0.2049677103
1.248,1.033869522,-0.6249675939,-0.4089019278
1.2486,1.029206449,-0.4387120206,-0.5904944287
1.2492,1.00035755,-0.2696176187,-0.7307399311
1.2498,0.9399561474,-0.07393425808,-0.8660218893
1.2504,0.8339190348,0.137638511,-0.9715575458
1.251,0.6968155257,0.3305686951,-1.027384221
1.2516,0.5462331464,0.5211155795,-1.067348726
1.2522,0.3586107834,0.7039356746,-1.062546458
1.2528,0.1729254282,0.8416901486,-1.014615577
1.2534,-0.01653525251,0.9487971735,-0.932261921
1.254,-0.2282146044,1.053056333,-0.8248417286
1.2546,-0.4293600103,1.099574123,-0.6702141125
1.2552,-0.606200419,1.103895243,-0.4976948242
1.2558,-0.7676920883,1.083253283,-0.3155611946
1.2564,-0.9175585644,1.031999295,-0.1144407308
1.257,-1.005784136,0.9224427962,0.08334133965
1.2576,-1.07982918,0.7912700251,0.288559155
1.2582,-1.120243574,0.6350598611,0.4851837126
1.2588,-1.103606904,0.448379914,0.6552269904
1.2594,-1.058072775,0.2689370968,0.7891356779
1.26,-0.9912897937,0.0660828139,0.9252069798
1.2606,-0.8680778518,-0.1399547326,1.008032584
1.2612,-0.7174308136,-0.3380878064,1.05551862
1.2618,-0.555501057,-0.5220947143,1.077595771
1.2624,-0.3563275769,-0.6964475632,1.05277514
1.263,-0.1693176173,-0.8243741488,0.993691766
1.2636,0.02796474413,-0.9330500806,0.9050853365
1.2642,0.2370664739,-1.010906276,0.7738398016
1.2648,0.4321399125,-1.037739896,0.6055999834
1.2654,0.6006049669,-1.036271349,0.4356663821
1.266,0.7605967042,-1.00012134,0.2395246358
1.2666,0.8843208014,-0.9277929087,0.0434721073
1.2672,0.9632642544,-0.8157536416,-0.1475106128
